date,retail,grocery,parks,transit,workplaces,residential,year,week
2020-02-17,6.109310264222727,2.3500784929356358,22.76111220897467,5.000294724432655,-5.236028380472752,0.5279820261437908,2020,8
2020-02-24,2.1334415553776385,-0.45456559446110395,-1.2749874622344533,3.3102232263261517,1.6318734612444878,0.14730580200877227,2020,9
2020-03-02,13.90450243367703,6.266519916127175,18.142182806878917,9.069848881684313,2.6927120195513976,-1.7606184798046367,2020,10
2020-03-09,13.025978196149392,7.38118745394772,17.395687224682217,11.683682504139254,0.18381346430230178,-0.8290369853311861,2020,11
2020-03-16,10.608753635392267,18.033148172119063,26.510069027215515,11.026834440720094,-9.21602634465853,1.9609009129967778,2020,12
2020-03-23,-19.070666958102716,7.3859873652353505,-9.822666904323885,-8.767961043464528,-21.804039268679144,11.002663021051562,2020,13
2020-03-30,-29.610157219529633,-9.213766222162892,-10.400298717165782,-21.40478333546806,-29.251058350134596,15.016827031928212,2020,14
2020-04-06,-35.02588478553079,-12.64535601445968,-26.562890500998382,-27.725213491146224,-33.72743796904244,16.961509452270498,2020,15
2020-04-13,-37.263054691213924,-16.35735571752106,-22.83978704893703,-30.908654423975275,-36.945929788124644,17.019306131265235,2020,16
2020-04-20,-28.060318014963325,-12.47859804670217,-18.254536437507934,-27.14067307462711,-31.73303191524587,15.568872342202898,2020,17
2020-04-27,-24.542907783591122,-8.744409103083235,-0.2253126342246363,-22.660513031709723,-30.645392815915237,14.350519798527243,2020,18
2020-05-04,-17.29269415342961,-2.65413391275048,6.335564244329937,-17.998803996327997,-28.32620823201704,11.779753433897936,2020,19
2020-05-11,-12.453072883776628,3.003248386257946,12.953999509669533,-16.371306525910963,-25.57527979347103,10.934302277429682,2020,20
2020-05-18,-12.797206694440316,-2.147057560933249,7.1401221387701765,-16.890371460277773,-24.48242823827195,11.068125085258796,2020,21
2020-05-25,-9.255383379189047,1.131655718222582,19.606384293501574,-12.5703315762615,-28.901428056878917,10.801067509279367,2020,22
2020-06-01,-6.446613817989857,0.6897142720511625,19.579925656986973,-9.877120976377666,-20.460952232281915,8.668647788199,2020,23
2020-06-08,-3.9691732531999455,2.728989303921989,25.328192526091296,-8.009075800485556,-21.303714877647227,7.702690346330104,2020,24
2020-06-15,-3.8837331217959354,2.959518333346779,34.269843155179835,-4.528415889662555,-21.034790722805443,7.214022389374311,2020,25
2020-06-22,-5.381087564410673,2.6312564026778085,29.568357760390416,-4.1798025937052214,-22.592072298961973,7.44549623998759,2020,26
2020-06-29,-9.378760263767418,-2.6321430279881146,16.95533382743688,-6.547005185152331,-23.951053481248945,9.245079122592694,2020,27
2020-07-06,-9.025679761657818,1.2129626043652881,17.40226433410623,-9.325070144987569,-31.41814073723523,10.05542984582299,2020,28
2020-07-13,-11.774135684030682,-3.53826588754352,12.824106120602677,-9.600962023902895,-27.021085936512584,9.923425611055263,2020,29
2020-07-20,-11.21999579939378,-3.9817565764586536,15.359673127112481,-9.365544380897692,-27.094664607103788,9.556152154821591,2020,30
2020-07-27,-12.927993662814606,-6.3683504703555744,11.38478816018704,-11.213149535988194,-27.448975268256625,9.670440219491894,2020,31
2020-08-03,-8.939665860538373,-3.7977608616662595,15.252057825837772,-8.323168734589588,-26.574630307417717,8.621873368608332,2020,32
2020-08-10,-8.609208497402504,-3.9883023628449803,19.93852405456179,-7.37125549914459,-25.83437156949096,7.850476864005354,2020,33
2020-08-17,-10.044612379223098,-4.622156104272287,11.478784099476519,-10.921667906794054,-26.451336362884234,7.548932850537013,2020,34
2020-08-24,-12.723286544054853,-7.279977281719441,-10.45914085914086,-28.988363422291993,-27.310403796221685,7.0355269370293145,2020,35
2020-08-31,-14.373591177283291,-8.885696832945841,-12.8133152561724,-29.139521193092623,-28.737648909989762,6.964515385049966,2020,36
2020-09-07,-10.363793494846846,-6.282408648262306,-11.814685314685315,-30.473643023643024,-32.953933888568905,7.647434758109788,2020,37
2020-09-14,-11.36531417291866,-8.227375975192222,3.493062713878955,-15.287156190651631,-24.034174479913666,5.119098065405569,2020,38
2020-09-21,-9.088091514136861,-7.157610281999085,16.754009011635013,-5.672576649894056,-20.600944340783574,5.575091246739504,2020,39
2020-09-28,-11.25611767595374,-7.970234508721903,6.693733140087366,-7.1818758158077065,-19.088987548214536,6.169313473395074,2020,40
2020-10-05,-6.879828220954282,-4.074453394732762,14.747159863945578,-3.5617502397037524,-19.605637709658925,3.9636437872731034,2020,41
2020-10-12,-9.515029413844518,-5.161714230319322,12.50410249088259,-3.135348326778099,-20.920827950291336,5.181013532567195,2020,42
2020-10-19,-8.83304085330363,-5.986873198072963,13.056721930551719,-3.4024236063186097,-19.27690929973926,5.127013018147188,2020,43
2020-10-26,-9.846919119093622,-7.0609528600589,4.980107740770728,-4.45170907109858,-18.613451155926157,5.35504523505638,2020,44
2020-11-02,-9.313704071378622,-6.4209481899179215,-4.6164341912811295,-6.795999611977386,-19.663772164150213,5.6754420873574825,2020,45
2020-11-09,-9.404217500744142,-7.52104457066094,3.496784651965235,-7.96169466609721,-18.133197967701904,5.4518719835773535,2020,46
2020-11-16,-10.257709015794473,-6.789890425507982,0.8365126530682401,-7.329221330178939,-19.32694882494706,5.893014458381656,2020,47
2020-11-23,-10.223891937214972,-5.4391659715682135,-3.016437104775705,-3.546964484828755,-20.511958631534355,6.37659745159142,2020,48
2020-11-30,-18.793758646108934,-7.111854079626206,-16.726220196677726,-9.74288369527373,-37.99786677103963,10.999840431059706,2020,49
