region,year,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Alabama,2020,-7.649282518129918,2.11787072243346,17.88509231193166,-5.911039161270429,-21.393215430758094,6.1330068184000766
Alabama,2021,-0.25539568345323743,6.667502031969656,7.881791787639983,1.6504294321240867,-17.217578629900906,4.351892310945098
Alabama,2022,-0.6705882352941176,6.4981930820857,22.06702735196874,2.6112042938611206,-11.385846120242451,4.009201911166166
Alaska,2020,-1.8613333333333333,3.65,52.897081413210444,-22.098138747884942,-21.110112359550563,6.975502512562814
Alaska,2021,13.313385107354957,11.008398656215006,59.79800498753117,4.574420344053852,-19.63770447841244,4.971484759095379
Alaska,2022,21.923076923076923,13.595153243050605,99.30897009966777,17.20686175580222,-13.748787248787249,2.78428927680798
Arizona,2020,-16.310793515358363,-4.371515679442509,-1.970373853750294,-11.244157135753357,-26.792761827739586,7.997183098591549
Arizona,2021,-3.9589922765722694,1.082623839009288,-3.5089268196978614,6.254215851602024,-22.573570432357045,4.926523637744446
Arizona,2022,-3.057422969187675,0.33595284872298625,-0.6160228156598393,5.030982905982906,-16.16707182320442,3.5317766008666345
Arkansas,2020,-4.931446351500552,3.9448627360129733,48.19208745445081,-4.496545454545455,-20.36942775845716,5.91712789827973
Arkansas,2021,3.0367155542252817,5.858927945813383,44.64891846921797,5.969345616264294,-17.619946091644206,4.16936460742209
Arkansas,2022,2.7380714464151885,4.223949082297217,57.1108635097493,10.02808988764045,-11.678926991150442,3.745343341673617
California,2020,-23.25241837968561,-3.666413566185776,6.169264868858515,-26.485082538240192,-28.87906239383988,10.112015318334132
California,2021,-9.95296926910299,-1.5646352215120123,7.840659681319362,-26.003181066293422,-25.874866206091273,6.672260835169803
California,2022,-10.143399685699318,-3.364125874125874,13.349250637755102,-27.82061622842394,-21.431310889135528,4.548915766120375
Colorado,2020,-13.3495844313805,-2.714794754846066,23.21262458471761,-18.383408071748878,-27.415185429010315,9.048098082364037
Colorado,2021,-3.3162452978742016,1.0041200706297821,14.609005795809184,-13.291874653355519,-23.288770053475936,5.385061242344707
Colorado,2022,-2.7406832298136647,-1.843290526707612,12.543704274162495,-16.33564734467199,-19.501583531274743,3.2772633033863166
Connecticut,2020,-14.202251143158636,-4.760386819484241,51.20008992805755,-21.95383912248629,-28.443165969316595,9.884575389948006
Connecticut,2021,-2.6042617960426178,0.3537290715372907,44.57614483493078,-13.341822522881019,-21.332420091324202,6.345509893455099
Connecticut,2022,-2.8834876543209877,0.8838734567901234,54.96562935438922,-7.384731290808639,-17.005787037037038,4.360339506172839
Delaware,2020,-8.172118380062305,-0.8177570093457944,46.765524625267666,-20.760309278350515,-26.157320872274145,8.813084112149532
