year,forecast,yhat_lower,yhat_upper,region,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2016,31428000.0,,,Midwest,,,,,,
2017,36860000.0,,,Midwest,,,,,,
2018,26891000.0,,,Midwest,,,,,,
2019,28617000.0,,,Midwest,,,,,,
2020,27052000.0,,,Midwest,-11.196646341463415,2.956728160607705,42.4459815546772,-11.912275132275132,-23.394988242210463,7.967045201514139
2020,27052000.0,,,Midwest,-5.559316770186335,3.783287820862917,46.26527677929547,-1.5805550009982032,-21.870359479526574,6.736903162779338
2020,27052000.0,,,Midwest,-8.366218368430367,10.42017913593256,63.14166130070831,-6.273983739837399,-19.7112359103039,6.914150695720662
2020,27052000.0,,,Midwest,-8.127461021964265,-1.2765459088069957,67.3273381294964,-1.0581688366232676,-20.976454718253724,6.974457608862902
2020,27052000.0,,,Midwest,-9.720722807830418,3.707192518304313,62.94086956521739,-16.999658061207043,-23.79601654148029,7.978109180462444
2020,27052000.0,,,Midwest,-10.388057489998518,2.9708280485595218,55.012873025160914,-27.763763472181765,-24.125563112799224,9.18903557022369
2020,27052000.0,,,Midwest,-1.2579375491996851,6.708005249343832,39.59414579228821,-4.231885663638378,-18.468352179788067,5.830581597942421
2020,27052000.0,,,Midwest,-8.003661662394727,2.7398202009518773,64.33365019011407,7.814446831364124,-19.164985757179156,6.82233368532207
2020,27052000.0,,,Midwest,-11.0909681611436,-1.2125579001544005,9.353083434099153,-16.22415370539799,-21.603177468857197,7.089285714285714
2020,27052000.0,,,Midwest,-7.10677987906857,3.065499561180655,67.73932987634623,-2.3211861667744023,-22.544778865258664,6.950565170489189
2020,27052000.0,,,Midwest,-3.9587231700605394,11.16792562463684,105.50438047559447,1.152454780361757,-21.864027759928028,6.8177060619276055
2020,27052000.0,,,Midwest,-9.416536978144665,3.2401033973412114,54.287864534336784,-9.474112033928256,-21.139455455070237,7.921004842615012
2021,31291000.0,,,Midwest,2.771278870829769,5.337163186749096,40.730829970170205,-0.381636973011113,-19.792767690376312,4.71172878500737
2021,31291000.0,,,Midwest,2.5962794918330308,3.490356977283264,38.574203993524016,8.706687818318443,-18.25792921871173,4.435683202785031
2021,31291000.0,,,Midwest,8.57270484131711,16.338591285335,55.145270270270274,-2.1614065180102915,-15.862798812901543,3.6224368751059135
2021,31291000.0,,,Midwest,2.158901215002641,2.29294455355794,54.54945054945055,9.861488321564368,-16.827865123097922,3.7795215932460224
2021,31291000.0,,,Midwest,3.6701161029782936,9.677128820960698,60.95128979143798,-2.695841182437328,-15.368305313187204,4.822834645669292
2021,31291000.0,,,Midwest,4.647321730886436,10.888736263736265,48.690226265453695,-24.42578125,-18.405353868720205,5.350955699034712
2021,31291000.0,,,Midwest,12.107208288584244,9.63942151446214,33.981031690955355,8.889060538766051,-15.072989702819257,3.36019384650062
2021,31291000.0,,,Midwest,5.645155491641201,6.124445539674716,50.99188790560472,22.36543155092079,-14.548921951834574,3.4385150812064964
2021,31291000.0,,,Midwest,-4.8872116206209055,-2.6854794520547944,1.7073891625615762,-10.929958127141226,-19.132760699216394,3.3857518056467497
2021,31291000.0,,,Midwest,3.1138922756938965,5.273753602021079,58.5292675452038,10.16875,-18.32695310060576,4.082788671023965
2021,31291000.0,,,Midwest,9.54481546572935,21.423022598870052,106.5286129970902,12.85952380952381,-16.916264090177133,3.387304507819687
2021,31291000.0,,,Midwest,3.219490626105412,12.227361607443868,47.92901953755153,-1.8927058111380144,-16.24808619223136,4.275243578387954
2022,33577000.0,,,Midwest,2.749203551819969,4.29757324652264,42.37698679203044,1.1027583088401538,-16.025834859525386,3.404451827242525
2022,33577000.0,,,Midwest,1.81200459506031,-2.223737903695931,46.66209198813056,7.481844946025515,-13.680203439841597,3.490142237355154
2022,33577000.0,,,Midwest,9.683699594623429,11.892210857592447,67.76497695852535,-6.534475465313029,-12.630253840738748,2.5209396258503403
2022,33577000.0,,,Midwest,1.8119143239625168,-0.3083948698017878,55.95438596491229,14.655511811023622,-12.91658621355474,3.010013717421125
2022,33577000.0,,,Midwest,6.268202647657841,7.601569008608719,70.95677233429394,1.5613615455381784,-8.13884618862465,3.4320995072707605
2022,33577000.0,,,Midwest,6.401737797086635,10.462544589774078,55.42195488721804,-19.32315340909091,-13.532719884160867,3.784101902612061
2022,33577000.0,,,Midwest,11.66752184718993,8.289214681156448,35.14548641542507,12.382163234929298,-9.886468918111175,3.0033471015524853
2022,33577000.0,,,Midwest,6.627620783956244,4.905489706799751,56.0132701421801,21.881204684885667,-10.091682190005669,2.4145955716222325
2022,33577000.0,,,Midwest,-3.1183108846013834,-2.7375,12.189320388349516,-8.900093808630395,-15.56168582375479,2.335970024979184
2022,33577000.0,,,Midwest,2.6546742981738896,1.3848571001047434,57.10710750346466,11.034663068229738,-14.509162873540472,3.113186216876187
2022,33577000.0,,,Midwest,10.389830508474576,18.423351158645275,122.8706786171575,12.15267175572519,-12.470670783047993,2.538670812281384
2022,33577000.0,,,Midwest,5.427709069493522,13.467624653739612,50.45066100094429,2.72823482428115,-12.273933844333555,3.114621755167374
2023,21906273.401670344,18207221.434710525,25068637.040316623,Midwest,,,,,,
2024,24554307.832007963,20959841.79024925,27974894.11545076,Midwest,,,,,,
2025,22985286.90225977,19574016.89634229,26302204.791184813,Midwest,,,,,,
2016,24514000.0,,,Northeast,,,,,,
2017,18450000.0,,,Northeast,,,,,,
2018,20890000.0,,,Northeast,,,,,,
2019,24193000.0,,,Northeast,,,,,,
2020,22917000.0,,,Northeast,-14.202251143158636,-4.760386819484241,51.20008992805755,-21.95383912248629,-28.443165969316595,9.884575389948006
2020,22917000.0,,,Northeast,-4.946532102211724,4.443342424993801,59.003419972640216,-11.215713301171606,-21.84053478008138,6.582356076759062
2020,22917000.0,,,Northeast,-18.853681710213777,-6.892226990939437,59.2680412371134,-32.27150127226463,-30.936373507057542,11.414717348927876
2020,22917000.0,,,Northeast,-5.265354800238521,4.150324775750077,62.32338308457712,-20.295325779036823,-24.273992461583067,8.675684277530236
2020,22917000.0,,,Northeast,-21.220993681792077,-2.556693594922101,55.75796296296296,-28.94512391374316,-32.09869169510808,11.88100028743892
2020,22917000.0,,,Northeast,-16.564025768535263,0.5088425844860794,47.83688155922039,-27.213620142743853,-27.274657322477584,9.283174224343677
2020,22917000.0,,,Northeast,-11.582140686301598,0.7950801045335757,52.27003699136868,-16.026303204208514,-25.251834342837444,8.00243987452074
2020,22917000.0,,,Northeast,-11.044784270890224,-4.482525366403608,69.17304189435337,-40.04587869362364,-29.00211976682565,9.94724770642202
2020,22917000.0,,,Northeast,-13.895430849432689,-2.937585266030013,52.77414330218068,-36.11591072714183,-27.57844990548204,9.732029117379437
2021,23905000.0,,,Northeast,-2.6042617960426178,0.3537290715372907,44.57614483493078,-13.34182252288102,-21.3324200913242,6.345509893455099
2021,23905000.0,,,Northeast,12.465736267668635,14.646830530401036,69.95315114333519,2.4926719278466742,-18.650188246848916,4.3560503388189735
